Table S3.4 HK domain architecture of Antarctic cyanobacteria,,,,,,,,,,,,,,,,,,
categorized_architecture,argonema_antarcticum_a004_b2,argonema_galeatum_a003_a1,calothrix_elsteri_ccala_953,cyanobium_sp_gca_003248995_1,cyanobium_sp_gca_003249115_1,leptolyngbya_foveolarum,nostoc_cf_commune_so_36,phormidesmis_priestleyi_ulc007,stenomitos_frigidus_ulc18,synechococcus_sp_cs_1324,synechococcus_sp_cs_1325,synechococcus_sp_cs_1326,synechococcus_sp_cs_1327,synechococcus_sp_cs_601,synechococcus_sp_cs_602,synechococcus_sp_cs_603,synechococcus_sp_edmonson_11f2,synechococcus_sp_syn_ace01
Transmitter - Sensor - Sensor - Sensor - Transmitter - Transmitter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Transmitter - Transmitter - Receiver - Linker,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Transmitter - Transmitter - Transmitter - Sensor - Transmitter - Transmitter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Receiver - Transmitter,8,6,4,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0
Transmitter - Sensor - Transmitter,5,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Transmitter - Transmitter - Transmitter - Adaptor - Receiver,4,6,4,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0
Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter - Receiver,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linker - Transmitter - Transmitter - Receiver,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Receiver - Receiver - Sensor - Transmitter - Transmitter,2,3,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Sensor - Linker - Transmitter - Transmitter - Receiver,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sensor - Sensor - Sensor - Transmitter,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmitter - Transmitter - Sensor - Transmitter - Transmitter,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linker - Sensor - Transmitter - Transmitter - Receiver - Receiver - Receiver,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Linker - Transmitter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Receiver - Receiver - Receiver - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter - Transmitter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Receiver - Receiver - Sensor - Sensor - Transmitter - Receiver,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Receiver - Receiver - Sensor - Sensor - Transmitter - Transmitter,1,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Receiver - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Receiver - Sensor - Sensor - Transmitter - Transmitter,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Receiver - Transmitter - Sensor - Sensor - Transmitter - Transmitter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sensor - Linker - Transmitter - Transmitter - Receiver - Transmitter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter - Receiver,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter - Receiver - Receiver - Transmitter,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sensor - Sensor - Transmitter - Transmitter - Receiver - Transmitter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmitter - Sensor - Sensor - Transmitter,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Transmitter - Sensor - Sensor - Transmitter - Transmitter,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Transmitter - Sensor - Sensor - Transmitter - Transmitter - Receiver,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmitter - Sensor - Sensor - Transmitter - Transmitter - Receiver - Receiver,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmitter - Sensor - Transmitter - Transmitter - Receiver,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmitter - Sensor - Transmitter - Transmitter - Transmitter - Transmitter - Receiver,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmitter - Transmitter - Receiver - Receiver,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmitter - Transmitter - Transmitter - Transmitter - Adaptor - Receiver,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmitter - Transmitter - Transmitter - Transmitter - Receiver - Sensor - Sensor - Sensor - Sensor - Sensor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown - Transmitter - Sensor - Transmitter - Transmitter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linker - Sensor - Transmitter - Transmitter - Receiver - Receiver,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Receiver - Receiver - Receiver - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter - Transmitter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sensor - Linker - Transmitter - Transmitter - Receiver - Transmitter - Adaptor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sensor - Sensor - Sensor - Transmitter - Transmitter - Transmitter - Transmitter - Receiver - Receiver - Sensor - Sensor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sensor - Transmitter - Transmitter - Receiver - Receiver,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmitter - Transmitter - Receiver - Receiver - Transmitter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmitter - Transmitter - Sensor - Transmitter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Receiver - Receiver - Receiver - Receiver - Receiver - Transmitter - Sensor - Transmitter - Transmitter,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Receiver - Receiver - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Se sor - Transmitter,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sensor - Linker - Sensor - Transmitter - Transmitter - Receiver,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sensor - Sensor - Sensor - Transmitter - Transmitter - Receiver,0,0,3,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
Lnker - Transmitter - Transmitter - Receiver,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Linker - Sensor - Transmitter - Transmitter - Receiver,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Receiver - Receiver - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Receiver - Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sensor - Linker - Sensor - Transmitter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter - Receiver - Receiver,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sensor - Sensor - Sensor - Sensor - Transmitter,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Sensor - Sensor - Transmitter - Transmitter - Receiver - Receiver - Transmitter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Transmitter - Transmitter - Adaptor - Receiver,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Transmitter - Transmitter - Transmitter - Adaptor,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Linker - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Receiver - Receiver - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sensor - Linker - Sensor - Transmitter - Transmitter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sensor - Sensor - Transmitter - Transmitter - Transmitter - Transmitter - Receiver - Receiver,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sensor - Transmitter - Transmitter - Adaptor - Receiver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sensor - Sensor - Sensor - Transmitter - Transmitter - Receiver - Receiver - Receiver,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sensor - Sensor - Sensor - Transmitter - Transmitter - Receiver - transmitter,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Transmitter - Transmitter - Transmitter - Transmitter - Adapter - Receiver,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
transmitter - Sensor - Sensor - Transmitter - Transmitter,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Transmitter - Transmitter - Receiver - Transmitter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
